ID,BUG #,QC #,OBSERVER,ZOOM,UNITS,HEAD WIDTH
45E,1,1,KG,4,94,2.350
82E,2,1,KG,4,91,2.275
61E,3,1,KG,4,92,2.300
09D,4,1,KG,4,89,2.225
90C,5,1,KG,4,89,2.225
92C,6,1,KG,4.5,100,2.222
66B,7,1,KG,4.5,63,1.400
78E,8,1,KG,4.5,97,2.156
83E,9,1,KG,4,93,2.325
82C,10,1,KG,4,91,2.275
92C,6,2,KG,4,89,2.225
82C,10,2,KG,4.5,98,2.178
78E,8,2,KG,4.5,94,2.089
61E,3,2,KG,4,92,2.300
09D,4,2,KG,4,90,2.250
82E,2,2,KG,4,92,2.300
90C,5,2,KG,4,91,2.275
83E,9,2,KG,4.5,100,2.222
66B,7,2,KG,4.5,64,1.422
45E,1,2,KG,4,95,2.375
92C,6,3,KG,4,90,2.250
82C,10,3,KG,4,91,2.275
61E,3,3,KG,4,92,2.300
66B,7,3,KG,4.5,64,1.422
82E,2,3,KG,4,92,2.300
45E,1,3,KG,4,95,2.375
90C,5,3,KG,4,90,2.250
09D,4,3,KG,4.5,100,2.222
78E,8,3,KG,4.5,97,2.156
83E,9,3,KG,4,93,2.325
82E,2,4,KG,4,92,2.300
09D,4,4,KG,4.5,100,2.222
83E,9,4,KG,4,92,2.300
61E,3,4,KG,4,92,2.300
45E,1,4,KG,4,94,2.350
82C,10,4,KG,4,91,2.275
90C,5,4,KG,4,90,2.250
92C,6,4,KG,4,89,2.225
78E,8,4,KG,4.5,97,2.156
66B,7,4,KG,4.5,64,1.422
90C,5,5,KG,4.5,100,2.222
82C,10,5,KG,4,90,2.250
82E,2,5,KG,4,91,2.275
92C,6,5,KG,4,89,2.225
61E,3,5,KG,4,92,2.300
83E,9,5,KG,4,92,2.300
66B,7,5,KG,4.5,64,1.422
09D,4,5,KG,4.5,100,2.222
45E,1,5,KG,4,95,2.375
78E,8,5,KG,4.5,98,2.178
66B,7,6,KG,4.5,63,1.400
83E,9,6,KG,4,92,2.300
90C,5,6,KG,4.5,100,2.222
92C,6,6,KG,4,91,2.275
82C,10,6,KG,4,91,2.275
82E,2,6,KG,4,90,2.250
45E,1,6,KG,4,95,2.375
78E,8,6,KG,4.5,97,2.156
61E,3,6,KG,4,92,2.300
09D,4,6,KG,4.5,100,2.222
78E,8,7,KG,4.5,97,2.156
90C,5,7,KG,4.5,100,2.222
92C,6,7,KG,4,90,2.250
82E,2,7,KG,4,91,2.275
45E,1,7,KG,4,95,2.375
09D,4,7,KG,4.5,100,2.222
82C,10,7,KG,4,91,2.275
61E,3,7,KG,4,92,2.300
66B,7,7,KG,4.5,64,1.422
83E,9,7,KG,4,93,2.325
45E,1,8,KG,4,95,2.375
83E,9,8,KG,4,93,2.325
82C,10,8,KG,4,90,2.250
09D,4,8,KG,4.5,100,2.222
78E,8,8,KG,4.5,97,2.156
92C,6,8,KG,4,91,2.275
90C,5,8,KG,4,91,2.275
82E,2,8,KG,4,92,2.300
66B,7,8,KG,4.5,63,1.400
61E,3,8,KG,4,93,2.325
09D,4,9,KG,4.5,100,2.222
92C,6,9,KG,4,91,2.275
82E,2,9,KG,4,91,2.275
90C,5,9,KG,4,89,2.225
78E,8,9,KG,4.5,97,2.156
61E,3,9,KG,4,92,2.300
82C,10,9,KG,4,90,2.250
45E,1,9,KG,4,95,2.375
66B,7,9,KG,4.5,64,1.422
83E,9,9,KG,4,93,2.325
78E,8,10,KG,4.5,97,2.156
82E,2,10,KG,4,92,2.300
92C,6,10,KG,4,90,2.250
83E,9,10,KG,4,93,2.325
66B,7,10,KG,4.5,64,1.422
45E,1,10,KG,4,94,2.350
61E,3,10,KG,4,92,2.300
90C,5,10,KG,4,90,2.250
82C,10,10,KG,4,90,2.250
09D,4,10,KG,4.5,100,2.222
78E,8,1,AB,4.5,98,2.178
45E,1,1,AB,4,96,2.400
90C,5,1,AB,4,90,2.250
82C,10,1,AB,4,92,2.300
61E,3,1,AB,4,92,2.300
09D,4,1,AB,4,91,2.275
83E,9,1,AB,4,95,2.375
66B,7,1,AB,4.5,65,1.444
82E,2,1,AB,4,94,2.350
92C,6,1,AB,4,94,2.350
66B,7,2,AB,4.5,64,1.422
82C,10,2,AB,4,94,2.350
45E,1,2,AB,4,97,2.425
78E,8,2,AB,4.5,99,2.200
82E,2,2,AB,4,93,2.325
83E,9,2,AB,4,92,2.300
09D,4,2,AB,4,92,2.300
61E,3,2,AB,4,95,2.375
90C,5,2,AB,4,91,2.275
92C,6,2,AB,4,95,2.375
90C,5,3,AB,4.5,100,2.222
82C,10,3,AB,4,90,2.250
83E,9,3,AB,4,90,2.250
09D,4,3,AB,4,91,2.275
61E,3,3,AB,4,94,2.350
45E,1,3,AB,4,96,2.400
92C,6,3,AB,4,91,2.275
82E,2,3,AB,4,92,2.300
78E,8,3,AB,4.5,99,2.200
66B,7,3,AB,4.5,69,1.533
78E,8,4,AB,4.5,98,2.178
82C,10,4,AB,4,92,2.300
09D,4,4,AB,4,91,2.275
90C,5,4,AB,4,92,2.300
61E,3,4,AB,4,95,2.375
82E,2,4,AB,4,92,2.300
66B,7,4,AB,4.5,69,1.533
83E,9,4,AB,4,97,2.425
82C,10,4,AB,4,93,2.325
45E,1,4,AB,4,91,2.275
83E,9,5,AB,4,92,2.300
66B,7,5,AB,4.5,64,1.422
78E,8,5,AB,4.5,99,2.200
45E,1,5,AB,4,96,2.400
61E,3,5,AB,4,95,2.375
90C,5,5,AB,4,92,2.300
09D,4,5,AB,4,90,2.250
82C,10,5,AB,4,92,2.300
82E,2,5,AB,4,91,2.275
92C,6,5,AB,4,92,2.300
45E,1,6,AB,4,95,2.375
66B,7,6,AB,4.5,64,1.422
83E,9,6,AB,4,92,2.300
90C,5,6,AB,4,92,2.300
92C,6,6,AB,4,92,2.300
78E,8,6,AB,4.5,98,2.178
82E,2,6,AB,4,92,2.300
61E,3,6,AB,4,93,2.325
82C,10,6,AB,4,93,2.325
09D,4,6,AB,4,91,2.275
66B,7,7,AB,4.5,64,1.422
61E,3,7,AB,4,93,2.325
82E,2,7,AB,4,93,2.325
78E,8,7,AB,4.5,99,2.200
90C,5,7,AB,4,89,2.225
45E,1,7,AB,4,97,2.425
09D,4,7,AB,4,89,2.225
92C,6,7,AB,4,93,2.325
83E,9,7,AB,4,95,2.375
82C,10,7,AB,4,91,2.275
61E,3,8,AB,4,93,2.325
66B,7,8,AB,4.5,64,1.422
82C,10,8,AB,4,90,2.250
45E,1,8,AB,4,95,2.375
92C,6,8,AB,4,91,2.275
90C,5,8,AB,4,93,2.325
09D,4,8,AB,4,93,2.325
82E,2,8,AB,4,92,2.300
78E,8,8,AB,4.5,99,2.200
83E,9,8,AB,4,94,2.350
78E,8,9,AB,4.5,99,2.200
83E,9,9,AB,4,92,2.300
61E,3,9,AB,4,95,2.375
82C,10,9,AB,4,93,2.325
90C,5,9,AB,4,93,2.325
92C,6,9,AB,4,93,2.325
09D,4,9,AB,4,90,2.250
82E,2,9,AB,4,95,2.375
66B,7,9,AB,4.5,64,1.422
45E,1,9,AB,4,97,2.425
61E,3,10,AB,4,94,2.350
90C,5,10,AB,4,93,2.325
09D,4,10,AB,4,92,2.300
82C,10,10,AB,4,93,2.325
45E,1,10,AB,4,97,2.425
82E,2,10,AB,4,93,2.325
66B,7,10,AB,4.5,65,1.444
92C,6,10,AB,4,93,2.325
78E,8,10,AB,4.5,99,2.200
83E,9,10,AB,4,95,2.375
